order_id,customer_id,product_id,quantity,order_date,status,total_amount
1,71,77,1,2026-02-01,pending,53.87
2,414,16,5,2025-10-14,pending,1354.4499999999998
3,593,77,1,2025-12-09,completed,53.87
4,430,85,5,2025-09-27,cancelled,1124.5
5,958,34,2,2026-02-07,cancelled,886.04
6,245,34,4,2025-09-20,pending,1772.08
7,688,83,3,2025-12-27,refunded,225.71999999999997
8,324,97,1,2025-10-18,completed,375.49
9,470,80,5,2026-02-19,completed,179.65
10,76,69,2,2025-12-17,cancelled,239.34
11,136,45,1,2026-01-31,pending,342.05
12,379,37,2,2025-07-26,refunded,750.02
13,854,70,3,2026-03-19,completed,123.18
14,684,71,3,2025-08-21,completed,357.27
15,962,18,3,2025-06-18,completed,1330.1999999999998
16,912,14,5,2026-05-08,pending,2123.25
17,279,37,5,2025-12-19,pending,1875.05
18,735,44,2,2025-12-14,cancelled,971.4
19,518,63,3,2025-08-20,completed,1447.17
20,95,82,4,2026-03-21,cancelled,402.56
21,46,1,3,2026-02-17,pending,55.050000000000004
22,653,34,2,2025-07-20,refunded,886.04
23,565,91,4,2026-04-27,completed,349.28
24,115,10,2,2025-10-19,completed,761.68
25,855,48,5,2026-02-22,pending,1150.65
26,441,17,1,2026-04-13,cancelled,44.92
27,374,6,3,2025-08-25,pending,766.92
28,699,32,1,2025-07-25,cancelled,457.08
29,799,72,4,2025-09-08,pending,1722.6
30,948,31,2,2025-10-06,pending,408.34
31,903,53,1,2025-10-05,pending,272.44
32,755,43,4,2026-03-23,pending,1992.28
33,274,21,1,2025-12-05,refunded,492.69
34,894,5,4,2026-02-21,pending,82.84
35,205,59,3,2026-05-21,cancelled,1227.33
36,841,30,2,2025-08-31,completed,238.28
37,676,25,4,2026-02-16,cancelled,1348.24
38,286,9,3,2025-10-12,cancelled,430.26
39,657,66,4,2025-08-25,cancelled,889.64
40,962,4,1,2025-11-08,cancelled,48.94
41,183,75,3,2025-08-17,completed,871.92
42,112,77,4,2025-08-12,cancelled,215.48
43,747,41,4,2026-02-13,completed,1589.12
44,395,74,2,2025-10-13,cancelled,223.64
45,46,91,4,2025-12-22,completed,349.28
46,533,69,2,2025-12-06,cancelled,239.34
47,442,9,3,2026-01-19,cancelled,430.26
48,680,16,3,2025-11-15,cancelled,812.67
49,683,53,3,2026-03-08,refunded,817.3199999999999
50,714,38,5,2025-09-07,pending,1016.4499999999999
51,197,54,4,2025-09-20,pending,1838.92
52,631,73,3,2026-05-23,refunded,370.68
53,562,1,3,2026-04-17,cancelled,55.050000000000004
54,216,56,5,2025-10-29,cancelled,2200.4
55,477,57,4,2025-10-06,pending,497.12
56,524,61,2,2026-03-08,completed,947.46
57,291,66,5,2026-04-15,cancelled,1112.05
58,96,97,2,2025-10-09,cancelled,750.98
59,231,26,2,2025-10-06,completed,613.8
60,48,32,4,2026-01-08,completed,1828.32
61,467,54,5,2026-03-22,pending,2298.65
62,736,90,4,2025-06-18,refunded,446.32
63,410,32,2,2026-05-26,completed,914.16
64,915,97,1,2025-07-06,refunded,375.49
65,225,23,5,2025-11-12,refunded,1149.85
66,52,72,2,2026-02-07,completed,861.3
67,468,18,4,2025-08-06,cancelled,1773.6
68,973,97,4,2025-11-30,refunded,1501.96
69,851,71,4,2025-09-24,pending,476.36
70,762,61,4,2026-04-11,cancelled,1894.92
71,770,32,3,2025-08-29,refunded,1371.24
72,642,31,3,2026-02-13,refunded,612.51
73,80,92,3,2025-09-17,pending,411.0
74,279,43,3,2026-04-16,completed,1494.21
75,142,20,2,2025-06-24,refunded,665.3
76,711,20,2,2025-11-19,completed,665.3
77,425,53,3,2025-11-02,refunded,817.3199999999999
78,426,8,2,2026-01-06,refunded,426.46
79,399,99,5,2026-03-13,completed,418.8
80,878,98,5,2026-04-03,refunded,1472.85
81,489,1,3,2026-01-28,cancelled,55.050000000000004
82,772,50,4,2025-11-24,pending,1027.12
83,500,29,3,2025-09-24,refunded,343.44
84,498,4,4,2025-07-13,cancelled,195.76
85,685,87,4,2025-08-13,pending,1675.96
86,861,60,2,2026-03-07,completed,768.62
87,929,51,5,2026-05-26,completed,2108.85
88,86,83,4,2026-01-19,pending,300.96
89,888,60,2,2026-05-30,completed,768.62
90,267,49,3,2026-05-28,pending,1458.3000000000002
91,466,42,3,2026-03-28,refunded,112.10999999999999
92,285,97,4,2025-11-05,cancelled,1501.96
93,855,11,4,2026-06-02,completed,696.28
94,768,70,1,2026-03-01,cancelled,41.06
95,230,84,1,2025-09-15,completed,234.53
96,773,4,2,2026-06-12,pending,97.88
97,860,3,5,2026-01-16,pending,1701.3999999999999
98,245,17,4,2025-07-07,completed,179.68
99,578,28,4,2025-07-06,cancelled,773.76
100,786,48,2,2025-10-19,completed,460.26
101,797,21,3,2025-12-29,completed,1478.07
102,593,4,3,2025-11-23,refunded,146.82
103,407,92,2,2025-09-28,completed,274.0
104,607,89,2,2025-12-05,completed,176.3
105,714,99,3,2026-05-04,completed,251.28000000000003
106,816,73,1,2025-07-13,cancelled,123.56
107,546,55,3,2026-06-08,completed,742.08
108,519,83,3,2026-03-11,completed,225.71999999999997
109,870,54,4,2026-04-13,completed,1838.92
110,444,47,4,2026-05-01,pending,244.4
111,446,23,5,2026-01-17,cancelled,1149.85
112,631,69,4,2026-01-12,refunded,478.68
113,447,94,5,2026-01-07,cancelled,1664.75
114,331,32,1,2025-11-23,cancelled,457.08
115,903,58,2,2025-10-13,refunded,947.56
116,584,79,4,2026-01-02,cancelled,1354.52
117,30,64,3,2026-02-12,pending,1137.27
118,500,28,3,2026-01-05,cancelled,580.3199999999999
119,349,36,5,2026-04-11,cancelled,1870.05
120,570,2,5,2026-02-23,pending,581.3000000000001
121,88,31,4,2025-08-06,refunded,816.68
122,569,98,2,2026-03-24,refunded,589.14
123,662,92,4,2026-04-30,refunded,548.0
124,812,3,1,2026-02-26,cancelled,340.28
125,227,52,2,2026-03-13,cancelled,208.5
126,680,75,3,2026-06-01,refunded,871.92
127,567,68,3,2025-10-26,refunded,519.0
128,764,71,3,2026-03-25,cancelled,357.27
129,720,59,3,2026-03-16,cancelled,1227.33
130,258,30,1,2025-09-02,pending,119.14
131,324,16,5,2025-10-11,pending,1354.4499999999998
132,197,28,4,2025-09-07,cancelled,773.76
133,742,76,5,2025-10-26,cancelled,2024.4499999999998
134,103,25,3,2025-08-27,pending,1011.1800000000001
135,370,23,3,2026-06-06,completed,689.91
136,726,69,2,2025-09-18,cancelled,239.34
137,47,7,5,2026-01-22,cancelled,521.1
138,715,17,4,2026-05-23,completed,179.68
139,894,2,5,2025-08-06,cancelled,581.3000000000001
140,481,62,4,2026-02-06,cancelled,1066.64
141,189,7,3,2025-11-19,refunded,312.65999999999997
142,117,9,4,2026-04-07,refunded,573.68
143,76,74,1,2026-04-04,pending,111.82
144,153,73,3,2026-04-16,completed,370.68
145,255,16,5,2025-07-08,refunded,1354.4499999999998
146,621,77,5,2026-06-13,pending,269.34999999999997
147,795,67,4,2025-10-30,refunded,263.08
148,931,57,3,2026-01-09,refunded,372.84000000000003
149,313,73,5,2026-06-15,completed,617.8
150,625,95,1,2026-06-02,pending,99.8
151,641,28,3,2026-05-01,completed,580.3199999999999
152,161,31,2,2025-10-13,completed,408.34
153,161,1,4,2025-12-30,refunded,73.4
154,706,77,4,2025-09-27,cancelled,215.48
155,34,30,3,2025-10-16,cancelled,357.42
156,720,59,1,2025-07-10,pending,409.11
157,947,34,5,2025-07-13,pending,2215.1
158,436,15,5,2025-07-19,pending,2023.55
159,664,20,3,2026-01-06,pending,997.9499999999999
160,74,8,2,2025-07-27,cancelled,426.46
161,610,96,5,2025-08-12,cancelled,1460.5500000000002
162,450,16,4,2025-12-20,cancelled,1083.56
163,717,52,3,2026-04-23,refunded,312.75
164,449,11,5,2026-01-12,completed,870.3499999999999
165,911,56,3,2025-12-04,cancelled,1320.24
166,27,12,2,2026-02-08,completed,957.7
167,784,87,3,2025-08-24,completed,1256.97
168,782,97,2,2025-07-12,refunded,750.98
169,532,84,4,2026-02-21,cancelled,938.12
170,186,75,4,2026-04-11,refunded,1162.56
171,993,12,4,2025-12-03,cancelled,1915.4
172,419,43,3,2026-05-07,completed,1494.21
173,879,21,3,2026-06-14,refunded,1478.07
174,711,64,3,2025-08-10,refunded,1137.27
175,834,98,5,2025-10-14,completed,1472.85
176,466,12,3,2025-08-21,cancelled,1436.5500000000002
177,332,15,4,2026-01-12,completed,1618.84
178,674,70,4,2025-11-29,refunded,164.24
179,56,25,5,2026-03-28,cancelled,1685.3
180,638,97,4,2026-03-13,refunded,1501.96
181,779,7,2,2026-05-29,cancelled,208.44
182,563,17,3,2026-05-07,refunded,134.76
183,902,90,4,2025-11-09,completed,446.32
184,30,81,5,2025-10-01,pending,2007.4
185,727,21,3,2026-01-30,completed,1478.07
186,566,53,1,2025-11-05,pending,272.44
187,862,15,4,2025-06-19,completed,1618.84
188,664,20,4,2025-10-11,cancelled,1330.6
189,522,91,3,2025-08-10,refunded,261.96
190,855,62,4,2026-04-25,pending,1066.64
191,468,71,2,2026-01-15,refunded,238.18
192,196,77,5,2026-03-24,pending,269.34999999999997
193,885,9,3,2025-12-27,refunded,430.26
194,349,65,3,2026-02-10,completed,1074.57
195,290,93,3,2025-08-28,refunded,440.70000000000005
196,887,20,4,2026-04-12,refunded,1330.6
197,354,43,5,2026-05-20,refunded,2490.35
198,467,42,2,2026-05-08,pending,74.74
