order_id,customer_id,product_id,quantity,order_date,status
1,71,77,1,2026-01-29,pending
2,414,16,5,2025-10-11,pending
3,593,77,1,2025-12-06,completed
4,430,85,5,2025-09-24,cancelled
5,958,34,2,2026-02-04,cancelled
6,245,34,4,2025-09-17,pending
7,688,83,3,2025-12-24,refunded
8,324,97,1,2025-10-15,completed
9,470,80,5,2026-02-16,completed
10,76,69,2,2025-12-14,cancelled
11,136,45,1,2026-01-28,pending
12,379,37,2,2025-07-23,refunded
13,854,70,3,2026-03-16,completed
14,684,71,3,2025-08-18,completed
15,962,18,3,2025-06-15,completed
16,912,14,5,2026-05-05,pending
17,279,37,5,2025-12-16,pending
18,735,44,2,2025-12-11,cancelled
19,518,63,3,2025-08-17,completed
20,95,82,4,2026-03-18,cancelled
21,46,1,3,2026-02-14,pending
22,653,34,2,2025-07-17,refunded
23,565,91,4,2026-04-24,completed
24,115,10,2,2025-10-16,completed
25,855,48,5,2026-02-19,pending
26,441,17,1,2026-04-10,cancelled
27,374,6,3,2025-08-22,pending
28,699,32,1,2025-07-22,cancelled
29,799,72,4,2025-09-05,pending
30,948,31,2,2025-10-03,pending
31,903,53,1,2025-10-02,pending
32,755,43,4,2026-03-20,pending
33,274,21,1,2025-12-02,refunded
34,894,5,4,2026-02-18,pending
35,205,59,3,2026-05-18,cancelled
36,841,30,2,2025-08-28,completed
37,676,25,4,2026-02-13,cancelled
38,286,9,3,2025-10-09,cancelled
39,657,66,4,2025-08-22,cancelled
40,962,4,1,2025-11-05,cancelled
41,183,75,3,2025-08-14,completed
42,112,77,4,2025-08-09,cancelled
43,747,41,4,2026-02-10,completed
44,395,74,2,2025-10-10,cancelled
45,46,91,4,2025-12-19,completed
46,533,69,2,2025-12-03,cancelled
47,442,9,3,2026-01-16,cancelled
48,680,16,3,2025-11-12,cancelled
49,683,53,3,2026-03-05,refunded
50,714,38,5,2025-09-04,pending
51,197,54,4,2025-09-17,pending
52,631,73,3,2026-05-20,refunded
53,562,1,3,2026-04-14,cancelled
54,216,56,5,2025-10-26,cancelled
55,477,57,4,2025-10-03,pending
56,524,61,2,2026-03-05,completed
57,291,66,5,2026-04-12,cancelled
58,96,97,2,2025-10-06,cancelled
59,231,26,2,2025-10-03,completed
60,48,32,4,2026-01-05,completed
61,467,54,5,2026-03-19,pending
62,736,90,4,2025-06-15,refunded
63,410,32,2,2026-05-23,completed
64,915,97,1,2025-07-03,refunded
65,225,23,5,2025-11-09,refunded
66,52,72,2,2026-02-04,completed
67,468,18,4,2025-08-03,cancelled
68,973,97,4,2025-11-27,refunded
69,851,71,4,2025-09-21,pending
70,762,61,4,2026-04-08,cancelled
71,770,32,3,2025-08-26,refunded
72,642,31,3,2026-02-10,refunded
73,80,92,3,2025-09-14,pending
74,279,43,3,2026-04-13,completed
75,142,20,2,2025-06-21,refunded
76,711,20,2,2025-11-16,completed
77,425,53,3,2025-10-30,refunded
78,426,8,2,2026-01-03,refunded
79,399,99,5,2026-03-10,completed
80,878,98,5,2026-03-31,refunded
81,489,1,3,2026-01-25,cancelled
82,772,50,4,2025-11-21,pending
83,500,29,3,2025-09-21,refunded
84,498,4,4,2025-07-10,cancelled
85,685,87,4,2025-08-10,pending
86,861,60,2,2026-03-04,completed
87,929,51,5,2026-05-23,completed
88,86,83,4,2026-01-16,pending
89,888,60,2,2026-05-27,completed
90,267,49,3,2026-05-25,pending
91,466,42,3,2026-03-25,refunded
92,285,97,4,2025-11-02,cancelled
93,855,11,4,2026-05-30,completed
94,768,70,1,2026-02-26,cancelled
95,230,84,1,2025-09-12,completed
96,773,4,2,2026-06-09,pending
97,860,3,5,2026-01-13,pending
98,245,17,4,2025-07-04,completed
99,578,28,4,2025-07-03,cancelled
100,786,48,2,2025-10-16,completed
101,797,21,3,2025-12-26,completed
102,593,4,3,2025-11-20,refunded
103,407,92,2,2025-09-25,completed
104,607,89,2,2025-12-02,completed
105,714,99,3,2026-05-01,completed
106,816,73,1,2025-07-10,cancelled
107,546,55,3,2026-06-05,completed
108,519,83,3,2026-03-08,completed
109,870,54,4,2026-04-10,completed
110,444,47,4,2026-04-28,pending
111,446,23,5,2026-01-14,cancelled
112,631,69,4,2026-01-09,refunded
113,447,94,5,2026-01-04,cancelled
114,331,32,1,2025-11-20,cancelled
115,903,58,2,2025-10-10,refunded
116,584,79,4,2025-12-30,cancelled
117,30,64,3,2026-02-09,pending
118,500,28,3,2026-01-02,cancelled
119,349,36,5,2026-04-08,cancelled
120,570,2,5,2026-02-20,pending
121,88,31,4,2025-08-03,refunded
122,569,98,2,2026-03-21,refunded
123,662,92,4,2026-04-27,refunded
124,812,3,1,2026-02-23,cancelled
125,227,52,2,2026-03-10,cancelled
126,680,75,3,2026-05-29,refunded
127,567,68,3,2025-10-23,refunded
128,764,71,3,2026-03-22,cancelled
129,720,59,3,2026-03-13,cancelled
130,258,30,1,2025-08-30,pending
131,324,16,5,2025-10-08,pending
132,197,28,4,2025-09-04,cancelled
133,742,76,5,2025-10-23,cancelled
134,103,25,3,2025-08-24,pending
